created_at;text_clean;author_id;hashtags;mentions;emojis;urls;public_metrics;tweet_id;conversation_id;referenced_tweets;entities;day;time;text_raw
2021-12-01 19:07:37+00:00;Die Münchener Bürger distanzieren sich von dieser Nazi-Universität, aufgrund dessen schon Hans und Sophie Scholl verhaftet wurden;1452960869235765255;;;;['https://t.co/fWA0QPbrNJ'];{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0};1466121828821188612;1466121828821188612;[<ReferencedTweet id=1466078896172982288 type=quoted];{'urls': [{'start': 130, 'end': 153, 'url': 'https://t.co/fWA0QPbrNJ', 'expanded_url': 'https://twitter.com/LMU_Muenchen/status/1466078896172982288', 'display_url': 'twitter.com/LMU_Muenchen/s…'}]};2021-12-01;19:07:37;Die Münchener Bürger distanzieren sich von dieser Nazi-Universität, aufgrund dessen schon Hans und Sophie Scholl verhaftet wurden https://t.co/fWA0QPbrNJ
2021-12-01 19:08:25+00:00;Die Münchener Bürger distanzieren sich von dieser Nazi-Universität, aufgrund derer Denunziantentum schon Hans und Sophie Scholl verhaftet wurden;1452960869235765255;;['@LMUMuenchen'];;;{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0};1466122028239540224;1466078896172982288;[<ReferencedTweet id=1466078896172982288 type=replied_to];{'mentions': [{'start': 0, 'end': 13, 'username': 'LMU_Muenchen', 'id': '91982547'}]};2021-12-01;19:08:25;@LMU_Muenchen Die Münchener Bürger distanzieren sich von dieser Nazi-Universität, aufgrund derer Denunziantentum schon Hans und Sophie Scholl verhaftet wurden
2021-12-01 19:25:54+00:00;Es ist einfach nur Dreck- und der muss schnellstens weg… Die Verwirrten fühlen sich wie „Die weiße Rose“ im Widerstand und machen sich in Wirklichkeit nur lächerlich;1301477989398581249;;['@PeggyFa'];['🤡'];;{'retweet_count': 0, 'reply_count': 0, 'like_count': 11, 'quote_count': 0};1466126428802539527;1465633386572271626;[<ReferencedTweet id=1465633386572271626 type=replied_to];{'mentions': [{'start': 0, 'end': 9, 'username': 'Peggy_Fa', 'id': '1325194882193924099'}]};2021-12-01;19:25:54;"@Peggy_Fa Es ist einfach nur Dreck- und der muss schnellstens weg…

Die Verwirrten fühlen sich wie „Die weiße Rose“ im Widerstand und machen sich in Wirklichkeit nur lächerlich🤡"
2021-12-01 20:00:18+00:00;Meinst Du die ganzen „Sophie Scholl“ -Janaauskassels?;1369433240;;['@Thista87', '@MDRAktuell'];;;{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0};1466135084357070853;1466014624088838147;[<ReferencedTweet id=1466065299317350408 type=replied_to];{'mentions': [{'start': 0, 'end': 9, 'username': 'Thista87', 'id': '704328005531869184'}, {'start': 10, 'end': 21, 'username': 'MDRAktuell', 'id': '19228733'}]};2021-12-01;20:00:18;@Thista87 @MDRAktuell Meinst Du die ganzen „Sophie Scholl“ -Janaauskassels?
2021-12-01 20:02:21+00:00;Kennt ihr das, wenn ihr erst nicht versteht, warum ihr irgendetwas rund um Sophie Scholl gemutet haben solltet. Corona kann es nicht sein, Impfung kann es nicht sein, was könnte denn ... (Es war Gottschalk);115460466;;;;['https://t.co/V4eyhvCJNj'];{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 1};1466135602273865729;1466135602273865729;[<ReferencedTweet id=1466104909644935168 type=replied_to];{'urls': [{'start': 208, 'end': 231, 'url': 'https://t.co/V4eyhvCJNj', 'expanded_url': 'https://twitter.com/SamaelFalkner/status/1466135602273865729/photo/1', 'display_url': 'pic.twitter.com/V4eyhvCJNj'}]};2021-12-01;20:02:21;"Kennt ihr das, wenn ihr erst nicht versteht, warum ihr irgendetwas rund um Sophie Scholl gemutet haben solltet. Corona kann es nicht sein, Impfung kann es nicht sein, was könnte denn ...

(Es war Gottschalk) https://t.co/V4eyhvCJNj"
2021-12-01 20:06:16+00:00;"Wenn Sie Nachhilfe brauchen, sei Ihnen der u.a. in der LMU gedrehte Film ""Sophie Scholl – Die letzten Tage"" empfohlen. Darum geht es um junge Leute, die in der LMU Kritik am Terrorregime üben wollten und dafür dann von der LMU dem Staate ausgeliefert wurde.";1237702972257325056;;['@BodeAnne1', '@GuyWald1974', '@LMUUniklinikum', '@murphyramone', '@querdenkenwatch', '@FlugschuleE', '@gtorges', '@schwurbelwatch', '@LMUMuenchen'];;;{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0};1466136586643460123;1466074204667883524;[<ReferencedTweet id=1466104909644935168 type=replied_to];{'mentions': [{'start': 0, 'end': 11, 'username': 'Bode_Anne1', 'id': '1240560768552251392'}, {'start': 12, 'end': 24, 'username': 'GuyWald1974', 'id': '756598309247131648'}, {'start': 25, 'end': 41, 'username': 'LMU_Uniklinikum', 'id': '20666336'}, {'start': 42, 'end': 55, 'username': 'murphyramone', 'id': '289806942'}, {'start': 56, 'end': 72, 'username': 'querdenkenwatch', 'id': '1303783097637449728'}, {'start': 73, 'end': 85, 'username': 'FlugschuleE', 'id': '1276612080012050432'}, {'start': 86, 'end': 94, 'username': 'gtorges', 'id': '82828746'}, {'start': 95, 'end': 110, 'username': 'schwurbelwatch', 'id': '1255946430298161161'}, {'start': 111, 'end': 124, 'username': 'LMU_Muenchen', 'id': '91982547'}]};2021-12-01;20:06:16;"@Bode_Anne1 @GuyWald1974 @LMU_Uniklinikum @murphyramone @querdenkenwatch @FlugschuleE @gtorges @schwurbelwatch @LMU_Muenchen Wenn Sie Nachhilfe brauchen, sei Ihnen der u.a. in der LMU gedrehte Film ""Sophie Scholl – Die letzten Tage"" empfohlen. Darum geht es um junge Leute, die in der LMU Kritik am Terrorregime üben wollten und dafür dann von der LMU dem Staate ausgeliefert wurde."
2021-12-01 18:42:28+00:00;Der Strukturvertrieb Team Friedrich, der in der ganz rechten Ecke fischt und dabei gern auch mal Gandhi oder Sophie Scholl zitiert.;1296552990908784640;;['@BlackRyderZ', '@Tonibike1', '@marcfriedrich7'];;['https://t.co/0dMjfMiaQu'];{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0};1466115497733337090;1465774263424618501;[<ReferencedTweet id=1466114357562073093 type=replied_to];{'mentions': [{'start': 0, 'end': 13, 'username': 'BlackRyder_Z', 'id': '1454960704700751873'}, {'start': 14, 'end': 25, 'username': 'Toni_bike1', 'id': '1242344045239832577'}, {'start': 26, 'end': 41, 'username': 'marcfriedrich7', 'id': '1027290944524247045'}], 'urls': [{'start': 174, 'end': 197, 'url': 'https://t.co/0dMjfMiaQu', 'expanded_url': 'https://twitter.com/MZwo22/status/1466115497733337090/photo/1', 'display_url': 'pic.twitter.com/0dMjfMiaQu'}]};2021-12-01;18:42:28;@BlackRyder_Z @Toni_bike1 @marcfriedrich7 Der Strukturvertrieb Team Friedrich, der in der ganz rechten Ecke fischt und dabei gern auch mal Gandhi oder Sophie Scholl zitiert. https://t.co/0dMjfMiaQu
2021-12-01 17:47:02+00:00;- war nicht Sophie Scholl auch an der LMU... und ließ ihr Leben für so eine Aktion - hat wohl Tradition bei denen an Geschwister-Scholl-Platz;1495918417;;['@sxsig', '@reitschuster'];;['https://t.co/EuZN2YXh8v'];{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0};1466101546287083529;1466022037223321611;[<ReferencedTweet id=1466038077059698693 type=replied_to];{'mentions': [{'start': 0, 'end': 7, 'username': 'sx_sig', 'id': '1353667580653920256'}, {'start': 8, 'end': 21, 'username': 'reitschuster', 'id': '36713389'}], 'urls': [{'start': 22, 'end': 45, 'url': 'https://t.co/EuZN2YXh8v', 'expanded_url': 'https://www.lmu-klinikum.de/aktuelles/newsmeldungen/lmu-reagiert-unmittelbar-auf-video/0415d9c5569a464a', 'display_url': 'lmu-klinikum.de/aktuelles/news…'}]};2021-12-01;17:47:02;@sx_sig @reitschuster https://t.co/EuZN2YXh8v - war nicht Sophie Scholl auch an der LMU... und ließ ihr Leben für so eine Aktion - hat wohl Tradition bei denen an Geschwister-Scholl-Platz
2021-12-01 17:47:41+00:00;- war nicht Sophie Scholl auch an der LMU... und ließ ihr Leben für so eine Aktion - hat wohl Tradition bei denen an Geschwister-Scholl-Platz;1495918417;;['@HW74198616', '@reitschuster', '@Peter73832399'];;['https://t.co/EuZN2YXh8v'];{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0};1466101709550272512;1466022037223321611;[<ReferencedTweet id=1466030871975280647 type=replied_to];{'mentions': [{'start': 0, 'end': 11, 'username': 'HW74198616', 'id': '1255473107873251330'}, {'start': 12, 'end': 25, 'username': 'reitschuster', 'id': '36713389'}, {'start': 26, 'end': 40, 'username': 'Peter73832399', 'id': '918518124546285568'}], 'urls': [{'start': 41, 'end': 64, 'url': 'https://t.co/EuZN2YXh8v', 'expanded_url': 'https://www.lmu-klinikum.de/aktuelles/newsmeldungen/lmu-reagiert-unmittelbar-auf-video/0415d9c5569a464a', 'display_url': 'lmu-klinikum.de/aktuelles/news…'}]};2021-12-01;17:47:41;@HW74198616 @reitschuster @Peter73832399 https://t.co/EuZN2YXh8v - war nicht Sophie Scholl auch an der LMU... und ließ ihr Leben für so eine Aktion - hat wohl Tradition bei denen an Geschwister-Scholl-Platz
2021-12-01 18:25:20+00:00;Hallo Herr Beckmann, danke! Das Profil hier wurde am traurigen 75. Todestag von Sophie Scholl angelegt und ist seit dem unverändert. Die junge Dame zeigt Gesicht, weil es ansonsten wohl wieder heißt, dass alles gelogen sei. Derweil wird anderen ohne saubere Datenlage geglaubt.;967085555984060417;;['@Antikulturalist'];;;{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0};1466111188023058439;1466052022784905234;[<ReferencedTweet id=1466053433690140672 type=replied_to];{'mentions': [{'start': 0, 'end': 16, 'username': 'Antikulturalist', 'id': '352843625'}]};2021-12-01;18:25:20;"@Antikulturalist Hallo Herr Beckmann, danke! 

Das Profil hier wurde am traurigen 75. Todestag von Sophie Scholl angelegt und ist seit dem unverändert.

Die junge Dame zeigt Gesicht, weil es ansonsten wohl wieder heißt, dass alles gelogen sei. Derweil wird anderen ohne saubere Datenlage geglaubt."
